entry,transaction_category
TOTAL FUEL,Utilities
FACEBK,Services
Ibn Elsham,Restaurants
BONJOUR,Groceries
JIMMY,Restaurants
RAYA SUPERMARKET,Groceries
FAWRY*TOMMY,Shopping
VODAFONE,Utilities
ETISALAT,Utilities
STARBUCKS,Restaurants
STREET NO,Restaurants
Noon,Shopping
ON THE RUN,Groceries
MCDONALD,Restaurants
Ola Energy,Utilities
EasyKash,Services
MINISO,Shopping
ELMENUS,Restaurants
EL MAQARR,Services
LANYUAN RESTAURANT,Restaurants
Coffee Berry,Restaurants
FNTS JYM,Health
Hawawshi El Refa,Restaurants
KOKIO CHIKEN,Restaurants
GOAT,Restaurants
KANSAS FRIED CHICKEN,Restaurants
MQR Space,Services
TBSW,Restaurants
HAG ARAFA,Groceries
BLIZZARD,Entertainment
TRIPMODECH,General
APPLE.COM/BILL,General
INSTASHOP,Groceries
CAREEM,Transportation
ALSHY,Shopping
GOVPAY,Utilities
FRESH FOOD,Groceries
HARDEES,Restaurants
MASTER ON THE GO,Groceries
MOBIL,Utilities
COFFEE LAB,Restaurants
TOTAL,Utilities
NOON COMMERCE,Shopping
NOON,Shopping
WILLYS KITCHEN,Restaurants
EL EZABY,Health
My fawry,Services
Alfa,Groceries
McDonalds,Restaurants
TELECOM EGYPT,Utilities
MEKKA,Others
LINCONTRO,Restaurants
NAME CHEAP,Services
GEIDEAMEDICA,Health
MOBILE,Utilities
SECOND CUP,Restaurants
GRINGOS,Restaurants
Gelato Mio,Restaurants
AMAZON CO JP,Shopping
ZYDAN,Groceries
MOBIL OIL,Utilities
CHICKIN WORX,Restaurants
DANDY FOR CLOTHES,Shopping
THE CREPE,Restaurants
Myfawry,Services
MAHMOUD ELFAR,Groceries
Orange,Utilities
MOBIL MARKET,Groceries
NEW PENNY,Groceries
GOOGLE,General
Carlos,Restaurants
starbucks,Restaurants
fb,Services
GORMET EGYPTAIN STREET,Restaurants
YATTA RESTAURANT,Restaurants
Riot,Entertainment
Accept,Services
SUPERMARKET MAHMOUD EL,Groceries
CIRCLE,Groceries
UPLIFT,Health
FOOD AND COMPANY,Restaurants
gelato,Restaurants
QAHWA,Restaurants
DIGITALOCEAN,Services
FLY BUY,Groceries
TRS GIRA MARKET,Groceries
SEOUDI,Groceries
GoFndMe,Services
BREADFAST,Restaurants
FLAMNGO,Restaurants
GoogleAdwordsEU,Services
QUICK,Groceries
ZIDAN MARKET,Groceries
CARREFOUR,Groceries
LAZADA,Shopping
Gourmet,Groceries
MCDONALDS,Restaurants
Spotify,Services
Circle,Groceries
ELDAHAN,Restaurants
ACCEPT,Services
Oscar,Groceries
Otlob.com,Restaurants
Breadfast,Restaurants
RABBITSCO,Restaurants
AMAN PASSPORTS,Services
Seoudi,Groceries
AMAZON MARKETPLACE,Shopping
Uber,Transportation
APPLE,General
MCDONALD,Restaurants
ALMOKHTABAR MEDICAL,Health
